Holly's Holt,Ledian,Ariados,Gloom,Weepinbell,Cyndaquil,,
Misty Basin,Slowpoke,Zubat,,,,,
Calm Coast,Snubbull,Marill,Pidgey,Skiploom,Oshawott,,
Serene Springs,Nidorino,Nidorina,Abra,Mareep,Snubbull,Slugma,Yanma
Stadium Grounds,Skiploom,Murkrow,Sunflora,Clefairy,Chikorita,,
Emperor's Garden,Furret,Togetic,Dunsparce,Misdreavus,Dratini,Skarmory,Eevee
Cattle Cull,Farfetch'd,Meowth,Miltank,Tauros,Girafarig,Gligar,
Cattle Cull,Farfetch'd,Meowth,Miltank,Tauros,Girafarig,Electabuzz,
Phantom Fjord,Golbat,Cloyster,Seadra,,,,
Seaflux Nexus,Octillery,Seadra,Cloyster,,,,
Sheltered Shores,Mantine,Corsola,Lanturn,,,,
Rusalka Ruins,Duskull,Haunter,Cloyster,Rotom,Froslass,,
Tranquil Tarn,Bastiodon,Vespiquen,Kirlia,Lopunny,,,
Grottoed Glacier,Snover,Sneasel,Jynx,Piloswine,Lucario,,
Western Glacier,Snover,Sneasel,Jynx,Piloswine,Lucario,,
Sinjoh Camp,Staravia,Luxio,Roselia,Drapion,,,
Empire's Reach,Toxicroak,Hbraviary,Staravia,Luxio,Roselia,,
Clast's Cradle,Larvitar,Magmortar,Weezing,Gabite,Hippowdon,,
Sulfur Sty,Rampardos,Skuntank,Donphan,Magcargo,Rampardos,,
