Map,NO_ITEM,POKE_BALL,GREAT_BALL,ULTRA_BALL,MASTER_BALL,SAFARI_BALL,JEZE_BALL,BUB_BALL,DECI_BALL,HERB_BALL,FAST_BALL,GEODE,LOVE_BALL,ABILITYPATCH,REPEAT_BALL,TIMER_BALL,NEST_BALL,NET_BALL,DIVE_BALL,LUXURY_BALL,HEAL_BALL,QUICK_BALL,DUSK_BALL,DREAM_BALL,PREMIER_BALL,CHERISH_BALL,POTION,SUPER_POTION,HYPER_POTION,MAX_POTION,ANTIDOTE,BURN_HEAL,PARALYZEHEAL,AWAKENING,ICE_HEAL,FULL_HEAL,FULL_RESTORE,REVIVE,MAX_REVIVE,ETHER,MAX_ETHER,ELIXIR,MAX_ELIXIR,HP_UP,PROTEIN,IRON,CARBOS,CALCIUM,ZINC,RARE_CANDY,PP_UP,PP_MAX,FRESH_WATER,SODA_POP,LEMONADE,MOOMOO_MILK,RAGECANDYBAR,PEWTERCRUNCH,SACRED_ASH,ENERGYPOWDER,ENERGY_ROOT,HEAL_POWDER,REVIVAL_HERB,X_ATTACK,X_DEFEND,X_SPEED,X_SPCL_ATK,X_SPCL_DEF,X_ACCURACY,DIRE_HIT,GUARD_SPEC,REPEL,SUPER_REPEL,MAX_REPEL,ESCAPE_ROPE,POKE_DOLL,ABILITY_CAP,LEAF_STONE,FIRE_STONE,WATER_STONE,THUNDERSTONE,MOON_STONE,SUN_STONE,DUSK_STONE,DAWN_STONE,SHINY_STONE,ICE_STONE,EVERSTONE,EXP_SHARE,CHERI_BERRY,CHESTO_BERRY,PECHA_BERRY,RAWST_BERRY,ASPEAR_BERRY,LEPPA_BERRY,ORAN_BERRY,PERSIM_BERRY,LUM_BERRY,SITRUS_BERRY,FIGY_BERRY,POMEG_BERRY,KELPSY_BERRY,QUALOT_BERRY,HONDEW_BERRY,GREPA_BERRY,TAMATO_BERRY,LIECHI_BERRY,GANLON_BERRY,SALAC_BERRY,PETAYA_BERRY,APICOT_BERRY,LANSAT_BERRY,STARF_BERRY,ENIGMA_BERRY,CUSTAP_BERRY,JABOCA_BERRY,ROWAP_BERRY,KEE_BERRY,MARANGABERRY,BERRY_JUICE,SILK_SCARF,BLACK_BELT,SHARP_BEAK,POISON_BARB,SOFT_SAND,HARD_STONE,SILVERPOWDER,SPELL_TAG,METAL_COAT,CHARCOAL,MYSTIC_WATER,MIRACLE_SEED,MAGNET,TWISTEDSPOON,NEVERMELTICE,DRAGON_FANG,BLACKGLASSES,PINK_BOW,BRIGHTPOWDER,SCOPE_LENS,QUICK_CLAW,KINGS_ROCK,FOCUS_BAND,LEFTOVERS,LUCKY_EGG,AMULET_COIN,CLEANSE_TAG,SMOKE_BALL,BERSERK_GENE,LIGHT_BALL,STICK,THICK_CLUB,LUCKY_PUNCH,METAL_POWDER,QUICK_POWDER,ARMOR_SUIT,AIR_BALLOON,ASSAULT_VEST,BIG_ROOT,BINDING_BAND,DESTINY_KNOT,EVIOLITE,EXPERT_BELT,FOCUS_SASH,GRIP_CLAW,LIFE_ORB,LIGHT_CLAY,ROYAL_BLESSING,MUSCLE_BAND,PROTECT_PADS,ROCKY_HELMET,SAFE_GOGGLES,SHED_SHELL,SHELL_BELL,SOOTHE_BELL,WEAK_POLICY,WIDE_LENS,WISE_GLASSES,ZOOM_LENS,EJECT_BUTTON,LAGGING_TAIL,IRON_BALL,RING_TARGET,RED_CARD,ABSORB_BULB,CELL_BATTERY,LUMINOUSMOSS,SNOWBALL,EJECT_PACK,ROOM_SERVICE,BLUNDRPOLICY,THROAT_SPRAY,HEAVY_BOOTS,UTILUMBRELLA,MENTAL_HERB,POWER_HERB,WHITE_HERB,DAMP_ROCK,HEAT_ROCK,SMOOTH_ROCK,ICY_ROCK,CHOICE_BAND,CHOICE_SCARF,CHOICE_SPECS,FLAME_ORB,TOXIC_ORB,BLACK_SLUDGE,MACHO_BRACE,POWER_WEIGHT,POWER_BRACER,POWER_BELT,POWER_LENS,POWER_BAND,POWER_ANKLET,DRAGON_SCALE,UP_GRADE,DUBIOUS_DISC,PROTECTOR,ELECTIRIZER,MAGMARIZER,RAZOR_FANG,RAZOR_CLAW,ODD_SOUVENIR,NUGGET,BIG_NUGGET,TINYMUSHROOM,BIG_MUSHROOM,BALMMUSHROOM,PEARL,BIG_PEARL,PEARL_STRING,STARDUST,STAR_PIECE,BRICK_PIECE,RARE_BONE,SILVER_LEAF,GOLD_LEAF,SLOWPOKETAIL,BOTTLE_CAP,HELIX_FOSSIL,DOME_FOSSIL,OLD_AMBER,MULCH,SWEET_HONEY,MINT_LEAF,FLOWER_MAIL,SURF_MAIL,LITEBLUEMAIL,RADIANT_OPAL_,SHORE_FOAM_,FIXED_CHARGE_,WHT_APRICORN_,TOUGH_LEAVES_,HOLLOW_ROCK_,PNK_APRICORN_,RADIANT_OPAL,SHORE_FOAM,FIXED_CHARGE,TOUGH_LEAVES,WHT_APRICORN,HOLLOW_ROCK,PNK_APRICORN,BICYCLE,OLD_ROD,GOOD_ROD,SUPER_ROD,COIN_CASE,ITEMFINDER,MYSTERY_EGG,SQUIRTBOTTLE,UNOWNREPORT,RED_SCALE,CARD_KEY,BASEMENT_KEY,S_S_TICKET,PASS,MACHINE_PART,LOST_ITEM,RAINBOW_WING,SILVER_WING,CLEAR_BELL,GS_BALL,BLUE_CARD,ORANGETICKET,MYSTICTICKET,PUMICE_HARP,SHINY_CHARM,OVAL_CHARM,CATCH_CHARM,SILPHSCOPE,APRICORN_BOX,TYPE_CHART
AnarresCharcoalKiln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnarresDorms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnarresHoltGate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnarresHouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnarresStockroom,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnarresTower1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnarresTower2F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnarresTower3F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnarresTown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArduousAnchorage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
